ligand,vbur_aqua,sigma_e2,hbonds,delta_vbur,dE_bind
TPMA,55.14285714285714,,,3.3714285714285808,
TPMA2,57.35714285714286,,,2.9285714285714235,
c,54.142857142857146,,,-2.8428571428571416,47787.81899432421
Zn6c,65.17142857142856,,,2.94285714285715,-118641.97365850779
Zn6b,50.8,,,5.285714285714285,
M3,59.01428571428572,,,2.085714285714282,
M1,64.47142857142858,,,3.0714285714285694,
Zn8a,51.128571428571426,,,6.428571428571438,
Zn7,63.78571428571429,,,4.299999999999997,
e,62.91428571428571,,,-1.8714285714285666,
