ligand,vbur_aqua,sigma_e2,zn_q,delta_vbur,dE_bind
Zn6a,39.85714285714286,186.95000000000013,1.68834,5.142857142857139,
TPMA,55.14285714285714,188.46000000000004,1.68044,3.3714285714285808,
TPMA2,57.35714285714286,185.27000000000015,1.66377,2.9285714285714235,
c,54.142857142857146,198.14000000000001,1.66857,-2.8428571428571416,
Zn6c,65.17142857142856,164.12999999999994,1.77017,2.94285714285715,
Zn6b,50.8,189.65000000000006,1.67313,5.285714285714285,
M3,59.01428571428572,188.88,1.66993,2.085714285714282,
M1,64.47142857142858,190.25999999999985,1.66331,3.0714285714285694,
Zn8a,51.128571428571426,171.91000000000005,1.76256,6.428571428571438,
Zn7,63.78571428571429,182.21000000000018,1.74984,4.299999999999997,
e,62.91428571428571,185.99000000000007,1.69478,-1.8714285714285666,
